lote,lote_id,latitude,longitude,station_id,codigo_estacion,unidad_produccion
Las Novillas,69a93f87-536e-4c68-8b65-61eeff547262,9.15103,-65.81198,238383,G12,Buenavista
Las Torres,a905953e-5b03-4234-804f-96473cf6f9de,9.15103,-65.81198,238383,G12,Buenavista
Las Yeguas,29327543-b2f5-4624-a4e6-e7e8fd1f594a,9.15103,-65.81198,238383,G12,Buenavista
Los Caribes,17eee026-d99d-4408-803d-04e5544d12b6,9.15103,-65.81198,238383,G12,Buenavista
Los Palos,4a5fcdda-5003-4f94-827e-6ad1ff5b1280,9.15103,-65.81198,238383,G12,Buenavista
L03 CASA DE TABLA ARRIBA A,31577c1d-53ac-4645-8b69-849bf3561130,9.28141,-66.45505,186730,G04,Camaripano
L04 CASA DE TABLA ARRIBA B,3130337f-3ab2-406b-a5c1-347f402702ca,9.28141,-66.45505,186730,G04,Camaripano
L05 EL DESQUITE,42b4b7f7-70f6-4291-b973-81920fd0cf62,9.28141,-66.45505,186730,G04,Camaripano
Molino Escabezao 1,09164758-10e5-4d2a-9155-7bd7dd174e5f,9.28141,-66.45505,186730,G04,Camaripano
Molino Escabezao 2,8b37ab97-2ecf-4455-add9-6ebe228e8087,9.28141,-66.45505,186730,G04,Camaripano
Tanque Gasoil,cb182c2d-4309-49f9-87ae-3629575d45c6,9.28141,-66.45505,186730,G04,Camaripano
Chaparral,c7ef1944-fd1e-4241-8b17-ed65092b5108,8.97136,-65.58844,238407,G13,Chaguaramitas
Chaparralito 1,70e131ba-d8f9-4ba0-9a6b-c0de3b159543,8.97136,-65.58844,238407,G13,Chaguaramitas
Chaparralito 2,db649d01-b26c-426c-949c-42778505618c,8.97136,-65.58844,238407,G13,Chaguaramitas
El Olivo 1,d8629f36-aa18-4262-8b44-624c1b361f33,8.97136,-65.58844,238407,G13,Chaguaramitas
El Olivo 2,9533c594-4333-4857-8060-48711fde7804,8.97136,-65.58844,238407,G13,Chaguaramitas
El Trapiche,4b0c8bea-4423-4c64-a18a-9d78860bc3be,8.97136,-65.58844,238407,G13,Chaguaramitas
La Aguadita,3b128bd0-8987-4816-8213-88e62b0963e1,8.97136,-65.58844,238407,G13,Chaguaramitas
Loma de Piedra,474e4c6f-8da2-44c7-8e46-d8a66321907a,8.97136,-65.58844,238407,G13,Chaguaramitas
Los Toros 1,d44de1dc-7867-4f9e-a1e7-788f92376293,8.97136,-65.58844,238407,G13,Chaguaramitas
Los Toros 2,db1ee136-0f1d-4ae8-b3e3-e1710c5f7ef4,8.97136,-65.58844,238407,G13,Chaguaramitas
Candilero,b95a4ded-83d5-40b3-87bd-fbbbbb95664f,9.50405,-69.224655,235225,P15,Don Fonti
Candirosa - Mango A,29a2511b-4eb0-4216-ab97-01001579fb64,9.50405,-69.224655,235225,P15,Don Fonti
Candirosa - Mango B,a6a74564-bac7-467d-95f7-46ae0fffb356,9.50405,-69.224655,235225,P15,Don Fonti
El Drago,c0492162-4a3b-40ec-8575-35e20b79e20c,9.50405,-69.224655,235225,P15,Don Fonti
