codigo,station_name,lugar,city,region,country,latitude,longitude,elevation_m,station_id,station_id_uuid,product_number,active,finca_agroven_cercana,dist_km
P10,P10-Turen Las Cúpulas-Saturno,Turen Las Cúpulas,Villa Bruzual,Portuguesa,Venezuela,9.27254,-69.15076,406.8,212695,617934f9-05b4-4686-be18-188d7276833d,6100,True,Ezequiel Fontiveros,26.5
P11,P11-La Ensenada-Saturno,La Ensenada,La Ceiba,Portuguesa,Venezuela,9.39531,-69.09518,442.4,212723,3a250649-af29-47eb-8355-1f97fc99a7a0,6100,True,Ezequiel Fontiveros,18.1
P12,P12-Rio Acarigua-Saturno,Rio Acarigua,Balona,Portuguesa,Venezuela,9.49422,-69.28926,733.8,213450,f2d2b657-1663-4b2d-8618-c1bd94c5ec7e,6100,True,Ezequiel Fontiveros,7.4
P14,P14 - El Palmar - Saturno,El Palmar,El Palmar,Portuguesa,Venezuela,9.22739,-68.98392,345.7,215150,939a0f32-09db-474e-9e1d-8d6c27f42f1c,6100,True,Antonio Pestana,11.2
P15,P15 Saturno Don Fonti,Saturno Don Fonti,Araure,Portuguesa,Venezuela,9.50405,-69.224655,674.8,235225,4b0de93b-7406-47c4-a132-2ca01369e1c4,6100,True,Ezequiel Fontiveros,0.5
P16,P16-Saturno La Padillera,Saturno La Padillera,Araure,Portuguesa,Venezuela,9.495216,-69.24176,686.1,235240,0d6a7697-9fdc-4e65-a92f-e062d8882f8d,6100,True,Ezequiel Fontiveros,2.3
P17,P17-Saturno-Monte De Luna,Saturno-Monte De Luna,La Flecha,Portuguesa,Venezuela,9.221124,-68.87559,323.4,235347,f0b6422f-8734-4f9d-b80f-c522ae1c5f92,6100,True,Antonio Pestana,1.0
P18,P18-Saturno-San Francisco,Saturno-San Francisco,Madre Viejo,Portuguesa,Venezuela,8.726597,-69.6746,390.6,235418,d799174f-8ce5-4918-8d31-37f9bc064aa7,6100,True,Gianni Gasperin,90.3
P19,P19-Saturno-Los Caminos,Saturno-Los Caminos,Araure,Portuguesa,Venezuela,9.577318,-69.27581,863.5,236176,69ac1525-4b97-4d3c-b82e-7f5d74da6703,6100,True,Ezequiel Fontiveros,10.4
Y01,Y01-Danac-Saturno,Danac,San Javier,Yaracuy,Venezuela,10.36844,-68.66325,393.9,197214,3c0a78e8-4f3c-4bd2-8eca-fb7b4a21fe29,6803A,True,Ezequiel Fontiveros,114.3
Y02,Y02-Saturno- La Ceiba,Saturno- La Ceiba,Barranca Amarilla,Lara,Venezuela,9.96753,-69.05368,905.5,235411,a5a115b3-875c-4a45-8156-6156e15eb161,6100,True,Ezequiel Fontiveros,55.1
Y03,Y03-Saturno-La Fé,Saturno-La Fé,Barranca Amarilla,Lara,Venezuela,9.978434,-69.04178,884.6,235420,4520ae26-ede0-4f3b-968c-7acd7bf73b39,6100,True,Ezequiel Fontiveros,56.7
Y04,Y04-Saturno-La Vaquera,Saturno-La Vaquera,La Virgen,Yaracuy,Venezuela,10.181393,-68.956635,1562.1,235597,21c8449b-50f3-4a22-8a5b-31c5b9f00279,6100,True,Ezequiel Fontiveros,81.1
Y05,Y05-La Victoriana,La Victoriana,Platanales,Yaracuy,Venezuela,10.08871,-69.04026,1135.7,237976,daa775e5-5b20-4236-8675-5f214163ed07,6803A,True,Ezequiel Fontiveros,68.4
Y06,Y06-Saturno-Radio Faro,Saturno-Radio Faro,Yaritagua,Yaracuy,Venezuela,10.048904,-69.07636,1025.9,238060,f1278526-fbe9-46e9-bc64-2fbf7057493c,6803A,True,Ezequiel Fontiveros,63.0
Y07,Y07-Finca Galo- Saturno,Finca Galo,La Bartola,Yaracuy,Venezuela,10.196259,-68.868286,994.7,238570,04a2d0c3-b71b-4d2c-9b0a-551aac1b3543,6100,True,Ezequiel Fontiveros,86.5
